n,id,n1,id1,n2,id2
18,7,2,1,9,7
18,8,2,1,9,8
12,10,3,1,4,7
12,11,3,1,4,8
32,5350,8,27,4,4
32,5351,8,29,4,4
32,5352,8,34,4,4
32,5353,8,35,4,4
32,5354,8,40,4,4
32,5356,8,25,4,5
32,5358,8,38,4,4
32,5359,8,29,4,5
32,5360,8,34,4,5
32,5361,8,35,4,5
32,5362,8,40,4,5
32,5364,8,29,4,6
32,5365,8,34,4,6
32,5369,8,29,4,8
32,5372,8,40,4,8
32,5373,8,42,4,8
32,5374,8,35,4,6
32,5380,8,29,4,9
32,5381,8,34,4,9
32,5383,8,40,4,9
32,5384,8,42,4,9
32,5397,8,40,4,7
32,5398,8,42,4,7
32,5407,8,40,4,6
32,5408,8,42,4,6
32,5413,8,41,4,5
32,5414,8,47,4,5
32,5415,8,48,4,5
32,5416,8,50,4,5
32,5417,8,51,4,5
32,5438,8,50,4,6
32,5439,8,51,4,6
32,5448,8,48,4,7
32,5449,8,50,4,7
32,5450,8,51,4,7
32,5512,8,41,4,8
32,5514,8,48,4,8
32,5515,8,50,4,8
32,5516,8,51,4,8
32,5526,8,50,4,9
32,5527,8,51,4,9
32,5549,8,51,4,10
9,4,3,1,3,1
9,6,3,1,3,2
9,10,3,2,3,2
81,107,9,1,9,1
81,96,9,1,9,2
81,112,9,1,9,3
81,232,9,1,9,5
81,226,9,1,9,7
81,229,9,1,9,8
81,230,9,1,9,9
81,211,9,1,9,11
81,98,9,2,9,2
81,113,9,2,9,3
81,148,9,2,9,5
81,225,9,2,9,7
81,235,9,2,9,8
81,236,9,2,9,9
81,218,9,2,9,11
81,104,9,3,9,3
81,220,9,3,9,5
81,222,9,3,9,7
81,223,9,3,9,8
81,216,9,3,9,9
81,227,9,3,9,11
81,387,9,5,9,5
81,309,9,5,9,7
81,355,9,5,9,8
81,333,9,5,9,9
81,399,9,5,9,11
81,373,9,7,9,7
81,312,9,7,9,8
81,373,9,7,9,9
81,327,9,7,9,11
81,370,9,8,9,8
81,318,9,8,9,9
81,328,9,8,9,11
81,385,9,9,9,9
81,369,9,9,9,11
81,321,9,11,9,11
81,12,27,1,3,1
81,16,27,1,3,2
81,10,27,2,3,1
81,27,27,2,3,2
81,11,27,3,3,1
81,6,27,3,3,2
81,9,27,4,3,1
81,30,27,4,3,2
81,206,27,5,3,1
81,228,27,5,3,2
81,246,27,9,3,1
81,208,27,9,3,2
81,-228,27,7,3,1
81,210,27,7,3,2
81,231,27,8,3,1
81,240,27,8,3,2
81,248,27,6,3,1
81,169,27,6,3,2
81,233,27,10,3,1
81,242,27,10,3,2
81,180,27,11,3,1
81,243,27,11,3,2
81,254,27,12,3,1
81,160,27,12,3,2
81,219,27,13,3,1
81,-221,27,13,3,2
81,221,27,14,3,1
81,244,27,14,3,2
81,204,27,15,3,1
81,245,27,15,3,2
81,212,27,16,3,1
81,214,27,16,3,2
81,-214,27,17,3,1
81,217,27,17,3,2
81,460,27,18,3,1
81,267,27,18,3,2
81,252,27,19,3,1
81,181,27,19,3,2
81,203,27,20,3,1
81,247,27,20,3,2
81,251,27,21,3,1
81,166,27,21,3,2
81,255,27,22,3,1
81,270,27,22,3,2
81,200,27,23,3,1
81,249,27,23,3,2
81,238,27,24,3,1
81,250,27,24,3,2
81,301,27,25,3,1
81,305,27,25,3,2
81,308,27,26,3,1
81,310,27,26,3,2
81,305,27,27,3,1
81,314,27,27,3,2
81,354,27,28,3,1
81,352,27,28,3,2
81,323,27,29,3,1
81,403,27,29,3,2
81,349,27,30,3,1
81,350,27,30,3,2
81,325,27,31,3,1
81,338,27,31,3,2
81,306,27,33,3,1
81,334,27,33,3,2
81,348,27,34,3,1
81,396,27,34,3,2
81,377,27,35,3,1
81,339,27,35,3,2
81,335,27,36,3,1
81,371,27,36,3,2
81,336,27,37,3,1
81,384,27,37,3,2
81,314,27,38,3,1
81,340,27,38,3,2
81,337,27,39,3,1
81,342,27,39,3,2
81,310,27,41,3,1
81,341,27,41,3,2
81,324,27,42,3,1
81,326,27,42,3,2
81,404,27,43,3,1
81,351,27,43,3,2
81,401,27,44,3,1
81,367,27,44,3,2
81,329,27,45,3,1
81,402,27,45,3,2
81,339,27,46,3,1
81,332,27,46,3,2
81,352,27,47,3,1
81,322,27,47,3,2
81,362,27,48,3,1
81,344,27,48,3,2
81,330,27,49,3,1
81,380,27,49,3,2
81,340,27,50,3,1
81,412,27,50,3,2
81,326,27,51,3,1
81,388,27,51,3,2
81,364,27,52,3,1
81,394,27,52,3,2
81,458,27,53,3,1
81,273,27,53,3,2
81,161,27,54,3,1
81,274,27,54,3,2
81,489,27,55,3,1
81,275,27,55,3,2
81,303,27,56,3,1
81,306,27,56,3,2
81,345,27,57,3,1
81,311,27,57,3,2
81,366,27,58,3,1
81,320,27,58,3,2
81,331,27,59,3,1
81,315,27,59,3,2